ENT-1101|北京城投公司|201|CER_NO_E_110011|110000|A0000|
ENT-1101|北京城投公司|202|CER_NO_E_110022|110000|A0000|
ENT-1101|北京城投公司|203|CER_NO_E_110033|110000|A0000|
ENT-1102|北京高速公司|201|CER_NO_E_110002|110000|B0000|
ENT-1201|天津城投公司|201|CER_NO_E_120001|120000|C0000|
ENT-1202|天津高速公司|201|CER_NO_E_120002|120000|D0000|
ENT-3101|上海城投公司|201|CER_NO_E_310001|310000|E0000|
ENT-3102|上海高速公司|201|CER_NO_E_310002|310000|F0000|
ENT-3102|上海高速公司|202|CER_NO_E_310022|310000|F0000|
ENT-3201|江苏城投公司|201|CER_NO_E_320001|320000|G0000|
ENT-3211|南京城投公司|201|CER_NO_E_320011|320000|H0000|
ENT-3212|南京高速公司|201|CER_NO_E_320011|320000|H0000|
ENT-3221|苏州城投公司|201|CER_NO_E_320021|320000|I0000|
ENT-3222|苏州高速公司|201|CER_NO_E_320022|320000|I0000|
PER-1111|员工1111|102|CER_NO_P_110101|110000|X0000|
PER-1112|员工1112|102|CER_NO_P_110102|110000|X0000|
PER-1113|员工1113|102|CER_NO_P_110103|110000|X0000|
PER-1114|员工1114|102|CER_NO_P_110104|110000|X0000|
PER-1115|员工1115|102|CER_NO_P_110105|110000|X0000|
PER-1211|员工1211|102|CER_NO_P_120101|120000|X0000|
PER-1212|员工1212|102|CER_NO_P_120102|120000|X0000|
PER-1213|员工1213|102|CER_NO_P_120103|120000|X0000|
PER-1214|员工1214|102|CER_NO_P_120104|120000|X0000|
PER-1215|员工1215|102|CER_NO_P_120105|120000|X0000|
PER-3111|员工3111|102|CER_NO_P_310101|310000|X0000|
PER-3112|员工3112|102|CER_NO_P_310102|310000|X0000|
PER-3113|员工3113|102|CER_NO_P_310103|310000|X0000|
PER-3114|员工3114|102|CER_NO_P_310104|310000|X0000|
PER-3115|员工3115|102|CER_NO_P_310105|310000|X0000|
PER-3211|员工3211|102|CER_NO_P_320101|320000|X0000|
PER-3212|员工3212|102|CER_NO_P_320102|320000|X0000|
PER-3213|员工3213|102|CER_NO_P_320103|320000|X0000|
PER-3214|员工3214|102|CER_NO_P_320104|320000|X0000|
PER-3215|员工3215|102|CER_NO_P_320105|320000|X0000|
PER-3221|员工3221|102|CER_NO_P_320201|320000|X0000|
PER-3222|员工3222|102|CER_NO_P_320202|320000|X0000|
PER-3223|员工3223|102|CER_NO_P_320203|320000|X0000|
PER-3224|员工3224|102|CER_NO_P_320204|320000|X0000|
PER-3225|员工3225|102|CER_NO_P_320205|320000|X0000|
